Date : 2020-11-22 03:25:11
Directory : /Users/iknowindigo/dev/TarotWork/SocialTarot
Total : 203 files,  38602 codes, 3291 comments, 2328 blanks, all 44221 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         13 |     24,996 |        105 |          9 |     25,110 |
| TypeScript |        124 |     10,353 |      2,396 |      1,658 |     14,407 |
| HTML       |         32 |      1,889 |        483 |        402 |      2,774 |
| SCSS       |         31 |      1,311 |        303 |        253 |      1,867 |
| JavaScript |          2 |         52 |          4 |          5 |         61 |
| XML        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about.page.ts                                     | TypeScript |         17 |          1 |          5 |         23 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin-routing.module.ts                           | TypeScript |         14 |          0 |          4 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin.module.ts                                   | TypeScript |         16 |          0 |          5 |         21 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin.page.html                                   | HTML       |         34 |          0 |          8 |         42 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin.page.scss                                   | SCSS       |          0 |          0 |          1 |          1 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin.page.spec.ts                                | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin.page.ts                                     | TypeScript |         49 |          1 |         11 |         61 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary-routing.module.ts                           | TypeScript |         22 |          0 |          5 |         27 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary.module.ts                                   | TypeScript |         20 |          0 |          6 |         26 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary.page.html                                   | HTML       |         80 |         23 |         39 |        142 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary.page.scss                                   | SCSS       |        115 |          8 |         30 |        153 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary.page.spec.ts                                | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary.page.ts                                     | TypeScript |        213 |         73 |         40 |        326 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends-routing.module.ts                       | TypeScript |         14 |          0 |          4 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends.module.ts                               | TypeScript |         16 |          0 |          5 |         21 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends.page.html                               | HTML       |        140 |          8 |         21 |        169 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends.page.scss                               | SCSS       |          0 |          0 |          1 |          1 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends.page.spec.ts                            | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends.page.ts                                 | TypeScript |        347 |         80 |         32 |        459 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal-routing.module.ts   | TypeScript |         14 |          0 |          4 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal.module.ts           | TypeScript |         16 |          0 |          5 |         21 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal.page.html           | HTML       |         15 |          0 |          3 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal.page.scss           | SCSS       |         34 |          0 |          2 |         36 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal.page.spec.ts        | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal.page.ts             | TypeScript |         22 |          0 |          6 |         28 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro-routing.module.ts                           | TypeScript |         14 |          0 |          4 |         18 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro.module.ts                                   | TypeScript |         16 |          0 |          5 |         21 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro.page.html                                   | HTML       |         18 |          0 |          8 |         26 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro.page.scss                                   | SCSS       |          7 |          4 |          0 |         11 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro.page.spec.ts                                | TypeScript |         19 |          0 |          6 |         25 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro.page.ts                                     | TypeScript |         35 |         44 |         17 |         96 |
| /Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/keyFullTextArray.ts                                     | TypeScript |        654 |          0 |          0 |        654 |
