"filename", "language", "JSON", "JavaScript", "HTML", "TypeScript", "SCSS", "XML", "comment", "blank", "total"
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile.page.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 8
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/profile/profile.page.ts", "TypeScript", 0, 0, 0, 215, 0, 0, 32, 27, 274
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login.page.html", "HTML", 0, 0, 60, 0, 0, 0, 9, 17, 86
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/login/login.page.ts", "TypeScript", 0, 0, 0, 114, 0, 0, 33, 32, 179
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register.page.html", "HTML", 0, 0, 81, 0, 0, 0, 2, 11, 94
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register.page.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/public/register/register.page.ts", "TypeScript", 0, 0, 0, 102, 0, 0, 14, 19, 135
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/auth-guard.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/auth-guard.service.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 4, 16
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/authentication.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/authentication.service.ts", "TypeScript", 0, 0, 0, 347, 0, 0, 102, 60, 509
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/firestore.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/firestore.service.ts", "TypeScript", 0, 0, 0, 1196, 0, 0, 346, 146, 1688
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/pdf-gen.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/pdf-gen.service.ts", "TypeScript", 0, 0, 0, 316, 0, 0, 95, 77, 488
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/realtime-db.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/realtime-db.service.ts", "TypeScript", 0, 0, 0, 1002, 0, 0, 338, 120, 1460
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/spiritual-service.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/spiritual-service.service.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 7, 8, 86
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/tarot-cards.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/services/tarot-cards.service.ts", "TypeScript", 0, 0, 0, 615, 0, 0, 101, 81, 797
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about.page.html", "HTML", 0, 0, 52, 0, 0, 0, 0, 9, 61
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/about/about.page.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 1, 5, 23
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin.page.html", "HTML", 0, 0, 34, 0, 0, 0, 0, 8, 42
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/admin/admin.page.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 1, 11, 61
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary-routing.module.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 5, 27
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary.module.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary.page.html", "HTML", 0, 0, 80, 0, 0, 0, 23, 39, 142
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary.page.scss", "SCSS", 0, 0, 0, 0, 115, 0, 8, 30, 153
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/diary/diary.page.ts", "TypeScript", 0, 0, 0, 213, 0, 0, 73, 40, 326
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends.page.html", "HTML", 0, 0, 140, 0, 0, 0, 8, 21, 169
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/friends/friends.page.ts", "TypeScript", 0, 0, 0, 347, 0, 0, 80, 32, 459
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal.page.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 3, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal.page.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/full-screen-modal/full-screen-modal.page.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 6, 28
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro.page.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 8, 26
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro.page.scss", "SCSS", 0, 0, 0, 0, 7, 0, 4, 0, 11
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/intro/intro.page.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 44, 17, 96
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/keyFullTextArray.ts", "TypeScript", 0, 0, 0, 654, 0, 0, 0, 0, 654
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/modal-card-display/modal-card-display-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/modal-card-display/modal-card-display.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/modal-card-display/modal-card-display.page.html", "HTML", 0, 0, 49, 0, 0, 0, 3, 11, 63
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/modal-card-display/modal-card-display.page.scss", "SCSS", 0, 0, 0, 0, 18, 0, 1, 2, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/modal-card-display/modal-card-display.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/modal-card-display/modal-card-display.page.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 11, 8, 54
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/nine-ray/nine-ray-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/nine-ray/nine-ray.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/nine-ray/nine-ray.page.html", "HTML", 0, 0, 93, 0, 0, 0, 0, 3, 96
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/nine-ray/nine-ray.page.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 4
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/nine-ray/nine-ray.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/nine-ray/nine-ray.page.ts", "TypeScript", 0, 0, 0, 121, 0, 0, 28, 14, 163
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/smaller/smaller-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
